estado,desempenho,desempenho_privado,populacao,renda,gini,pobreza,escolaridade,urbanizacao,sigla,regiao,pop_size,desempenho_size,legenda,cluster,perfil_cluster,indice_socioeconomico,score_vulnerabilidade,prioridade_intervencao,faixa_prioridade
ACRE,249.31,298.6,884372,1135.0,0.511,53.7,49,74.45,AC,Norte,60.516831113639064,383.334533674622,Norte: 0.1181,2,Contextos intermediários,20.238999999999997,3.305096052207546,3.0454257087468637,Prioridade moderada
ALAGOAS,250.77,279.83500000000004,3220848,1140.0,0.486,48.7,42.2,80.57,AL,Nordeste,170.19405091206852,427.01758073540776,Nordeste: 0.2949,1,Maior vulnerabilidade,31.383999999999993,2.0603875358317203,1.4270648857741903,Prioridade moderada
AMAPÁ,236.555,284.22,806517,1447.0,0.491,35.7,63.2,88.76,AP,Norte,56.21587984769165,81.88301298601297,Norte: 0.1181,1,Maior vulnerabilidade,52.569,0.4343970748727528,3.4390658893865655,Prioridade moderada
AMAZONAS,246.025,286.68,4321616,1233.0,0.512,50.5,59.0,82.83,AM,Norte,215.32037687285543,291.20141983950873,Norte: 0.1181,1,Maior vulnerabilidade,31.817999999999998,2.8545261160951365,3.4355734624773557,Prioridade moderada
BAHIA,233.62,284.395,14870907,1246.0,0.49,49.4,45.9,76.72,BA,Nordeste,578.679580017273,39.12259379828109,Nordeste: 0.2949,1,Maior vulnerabilidade,26.83,2.0449159690430485,5.800728290311479,Alta prioridade
CEARÁ,264.605,284.56000000000006,9268836,1220.0,0.513,51.1,45.0,76.89,CE,Nordeste,396.4499339671968,913.6111724765544,Nordeste: 0.2949,2,Contextos intermediários,25.277,2.965579264816788,-1.2084828796019487,Menor prioridade
DISTRITO FEDERAL,248.42000000000002,292.11,2996899,3444.0,0.543,18.1,73.5,96.48,DF,Centro-Oeste,160.65930242410192,357.51338826923694,Centro-Oeste: 2.5970,0,Menor vulnerabilidade,77.837,-3.403289787539937,-3.4351857797189838,Menor prioridade
ESPÍRITO SANTO,260.145,305.095,4126854,1928.0,0.486,24.6,53.2,85.9,ES,Sudeste,207.52168029534425,743.3860094247883,Sudeste: -0.5990,0,Menor vulnerabilidade,60.81400000000001,-1.6631374843537168,-4.695768609990299,Menor prioridade
GOIÁS,264.345,291.525,7423629,2080.0,0.473,20.3,54.4,93.19,GO,Centro-Oeste,331.9412302134096,903.3650744454319,Centro-Oeste: 2.5970,0,Menor vulnerabilidade,72.417,-2.7535251415755764,-6.861046464271588,Menor prioridade
MARANHÃO,234.35500000000002,280.855,7018211,1019.0,0.492,54.1,44.400000000000006,70.93,MA,Nordeste,317.357910659525,48.52853510604192,Nordeste: 0.2949,1,Maior vulnerabilidade,16.338000000000008,2.9743101550026685,6.542016691785698,Alta prioridade
MATO GROSSO,244.81,286.94,3893659,2100.0,0.452,19.3,53.0,86.28,MT,Centro-Oeste,198.08633774559607,259.4111776726045,Centro-Oeste: 2.5970,0,Menor vulnerabilidade,66.52799999999999,-3.5363584676492117,-2.6443607428319456,Menor prioridade
MATO GROSSO DO SUL,247.70499999999998,293.305,2924631,2192.0,0.477,20.8,54.6,88.13,MS,Centro-Oeste,157.55241144379,337.224819839904,Centro-Oeste: 2.5970,0,Menor vulnerabilidade,66.853,-2.7988595806315635,-2.6477683130731062,Menor prioridade
MINAS GERAIS,251.93,306.37,21393441,1935.0,0.476,22.7,50.4,88.23,MG,Sudeste,774.0922268706346,462.8638153330403,Sudeste: -0.5990,0,Menor vulnerabilidade,65.054,-2.1614800900902464,-3.0916771755260912,Menor prioridade
PARÁ,238.82999999999998,292.815,8711196,1330.0,0.501,44.9,46.5,75.07,PA,Norte,377.251017492237,123.33827339595209,Norte: 0.1181,1,Maior vulnerabilidade,29.668999999999997,1.8130371121332693,4.235473736573237,Alta prioridade
PARAÍBA,241.125,285.445,4164468,1356.0,0.559,49.7,41.599999999999994,79.57,PB,Nordeste,209.03346274408278,171.27618981180854,Nordeste: 0.2949,1,Maior vulnerabilidade,29.310999999999993,4.0055484276894635,5.840634337307673,Alta prioridade
PARANÁ,264.525,275.83500000000004,11890517,2150.0,0.463,18.9,52.900000000000006,88.95,PR,Sul,483.8700951387426,910.4543657256847,Sul: 0.3666,0,Menor vulnerabilidade,69.587,-3.32726926101242,-7.480857306439538,Menor prioridade
